MANDT,KURST,FCURR,TCURR,GDATU,UKURS,FFACT,TFACT
800,B,CHF,EUR,79849892,1.20120-,1,1
800,G,CHF,EUR,79858768,1.20230-,1,1
800,G,CHF,EUR,79849897,1.20190-,1,1
800,G,CHF,EUR,79849894,1.20180-,1,1
800,G,CHF,EUR,79849893,1.20120-,1,1
800,G,CHF,EUR,79849892,1.20090-,1,1
800,B,ZAR,EUR,79858768,14.04370-,1,1
800,B,ZAR,EUR,79849897,14.08940-,1,1
800,B,ZAR,EUR,79849894,13.96730-,1,1
800,B,ZAR,EUR,79849893,13.96120-,1,1
800,B,ZAR,EUR,79849892,13.84530-,1,1
800,B,ZAR,EUR,79849891,13.68770-,1,1
800,G,ZAR,EUR,79858768,14.03890-,1,1
800,G,ZAR,EUR,79849897,14.08330-,1,1
800,G,ZAR,EUR,79849894,13.96350-,1,1
800,G,ZAR,EUR,79849893,13.95280-,1,1
800,G,ZAR,EUR,79849892,13.83120-,1,1
800,G,ZAR,EUR,79849891,13.67810-,1,1
800,B,CAD,EUR,79858768,1.40770-,1,1
800,B,CAD,EUR,79849897,1.40690-,1,1
800,B,CAD,EUR,79849894,1.40470-,1,1
800,B,CAD,EUR,79849893,1.40050-,1,1
800,B,CAD,EUR,79849892,1.39990-,1,1
800,B,CAD,EUR,79849891,1.39050-,1,1
800,G,CAD,EUR,79858768,1.40730-,1,1
800,G,CAD,EUR,79849897,1.40540-,1,1
800,G,CAD,EUR,79849894,1.40420-,1,1
800,G,CAD,EUR,79849893,1.39940-,1,1
800,G,CAD,EUR,79849892,1.39940-,1,1
800,G,CAD,EUR,79849891,1.39000-,1,1
800,G,NZD,EUR,79858768,1.55040-,1,1
800,B,NZD,EUR,79858768,1.55210-,1,1
800,G,NZD,EUR,79849897,1.55920-,1,1
800,B,NZD,EUR,79849897,1.56080-,1,1
800,G,NZD,EUR,79849894,1.55240-,1,1
800,B,NZD,EUR,79849894,1.55310-,1,1
800,G,NZD,EUR,79849893,1.53790-,1,1
800,B,NZD,EUR,79849893,1.53950-,1,1
800,G,NZD,EUR,79849892,1.52610-,1,1
800,B,NZD,EUR,79849892,1.52640-,1,1
800,B,NZD,EUR,79849891,1.51190-,1,1
800,B,TWD,EUR,79858768,38.50700-,1,1
800,B,TWD,EUR,79849897,38.32280-,1,1
800,B,TWD,EUR,79849894,38.12780-,1,1
800,B,TWD,EUR,79849893,38.08410-,1,1
800,B,TWD,EUR,79849892,37.80880-,1,1
800,B,TWD,EUR,79849891,37.68820-,1,1
800,G,TWD,EUR,79858768,38.46740-,1,1
800,G,TWD,EUR,79849897,38.28030-,1,1
800,G,TWD,EUR,79849894,38.10670-,1,1
800,G,TWD,EUR,79849893,38.06580-,1,1
800,G,TWD,EUR,79849892,37.78140-,1,1
800,G,TWD,EUR,79849891,37.66420-,1,1
800,G,AUD,EUR,79858768,1.48020-,1,1
800,B,AUD,EUR,79858768,1.48160-,1,1
800,G,AUD,EUR,79849897,1.48390-,1,1
800,B,AUD,EUR,79849897,1.48530-,1,1
800,G,AUD,EUR,79849894,1.47670-,1,1
800,B,AUD,EUR,79849894,1.47680-,1,1
800,G,AUD,EUR,79849893,1.46260-,1,1
800,B,AUD,EUR,79849893,1.46390-,1,1
800,G,AUD,EUR,79849892,1.46490-,1,1
800,B,AUD,EUR,79849892,1.46510-,1,1
800,B,SEK,EUR,79858768,9.40280-,1,1
800,B,SEK,EUR,79849897,9.45820-,1,1
800,B,SEK,EUR,79849894,9.49150-,1,1
800,B,SEK,EUR,79849893,9.41840-,1,1
800,B,SEK,EUR,79849892,9.39540-,1,1
800,G,SEK,EUR,79858768,9.39500-,1,1
800,G,SEK,EUR,79849897,9.45620-,1,1
800,G,SEK,EUR,79849894,9.48850-,1,1
800,G,SEK,EUR,79849893,9.41640-,1,1
